country,year,sex,b
GBRTENW,2001,1,304635
GBRTENW,2002,1,306063
GBRTENW,2003,1,318428
GBRTENW,2004,1,328340
GBRTENW,2005,1,330600
GBRTENW,2006,1,342429
GBRTENW,2007,1,354488
GBRTENW,2008,1,362963
GBRTENW,2009,1,362135
GBRTENW,2010,1,370966
GBRTENW,2011,1,370974
GBRTENW,2012,1,374346
GBRTENW,2013,1,358383
GBRTENW,2014,1,358424
GBRTENW,2015,1,358136
GBRTENW,2016,1,357046
GBRTENW,2001,2,289999
GBRTENW,2002,2,290059
GBRTENW,2003,2,303041
GBRTENW,2004,2,311381
GBRTENW,2005,2,315235
GBRTENW,2006,2,327172
GBRTENW,2007,2,335525
GBRTENW,2008,2,345748
GBRTENW,2009,2,344113
GBRTENW,2010,2,352199
GBRTENW,2011,2,352939
GBRTENW,2012,2,355328
GBRTENW,2013,2,340129
GBRTENW,2014,2,340063
GBRTENW,2015,2,339716
GBRTENW,2016,2,339225
GBRTENW,2001,3,594634
GBRTENW,2002,3,596122
GBRTENW,2003,3,621469
GBRTENW,2004,3,639721
GBRTENW,2005,3,645835
GBRTENW,2006,3,669601
GBRTENW,2007,3,690013
GBRTENW,2008,3,708711
GBRTENW,2009,3,706248
GBRTENW,2010,3,723165
GBRTENW,2011,3,723913
GBRTENW,2012,3,729674
GBRTENW,2013,3,698512
GBRTENW,2014,3,698487
GBRTENW,2015,3,697852
GBRTENW,2016,3,696271
